z_thresh,contracts,max_trades,stop_ratio,pass_rate,expectancy,risk_reward,win_rate,avg_mc_pnl,total_trades,score
1.0,3,2,0.5,0.52,65.16869918699092,2.5592062903485973,0.34959349593495936,1137.5375999999778,246,117.16869918699092
1.0,2,2,0.5,0.604,50.505645161290246,2.621591630693443,0.3548387096774194,1695.929599999995,248,110.90564516129024
1.0,3,2,0.6,0.426,56.44634146341349,2.3835287089661756,0.35365853658536583,683.69219999998,246,99.04634146341348
1.0,2,2,0.6,0.532,44.961290322580595,2.4447066524513503,0.3588709677419355,1250.669999999995,248,98.1612903225806
0.8,3,2,0.5,0.47,46.276953124998755,2.4875001449445393,0.33984375,937.9393999999696,256,93.27695312499876
1.0,3,2,0.4,0.452,45.70569105690964,2.703725568200456,0.32113821138211385,831.6213999999757,246,90.90569105690965
1.0,2,2,0.4,0.526,35.84354838709665,2.745315837504629,0.32661290322580644,1261.7907999999932,248,88.44354838709666
2.0,3,4,0.6,0.45,43.074999999998425,2.058513566657463,0.36875,758.0045999999701,160,88.07499999999843
0.8,2,2,0.5,0.508,36.142307692307625,2.6078635982062113,0.3384615384615385,1229.427599999994,260,86.94230769230762
0.8,2,10,0.6,0.552,31.02615629984045,2.2377231583377966,0.3572567783094099,1271.0815999999913,627,86.22615629984045
0.8,2,8,0.6,0.534,32.20098360655727,2.2714529438878412,0.3557377049180328,1185.071999999987,610,85.60098360655728
0.8,2,8,0.5,0.54,31.128410914927898,2.4742372824213223,0.33707865168539325,1253.3091999999906,623,85.1284109149279
0.8,2,6,0.5,0.544,30.072027972027925,2.5361981504322224,0.3304195804195804,1236.4991999999916,572,84.47202797202793
0.8,2,10,0.5,0.524,31.107378335949917,2.4492875480025558,0.3390894819466248,1104.4247999999911,637,83.50737833594992
0.8,3,25,0.6,0.484,34.9314990512332,2.211157013074805,0.349146110056926,906.606399999989,527,83.33149905123321
0.8,3,20,0.5,0.5,32.807933579336094,2.376559730733876,0.33210332103321033,944.7289999999919,542,82.8079335793361
2.0,2,4,0.6,0.446,38.0341463414631,2.0388192684571558,0.38414634146341464,989.9051999999868,164,82.6341463414631
0.8,2,6,0.6,0.512,31.433868092691284,2.307347086715797,0.3511586452762923,1082.9695999999835,561,82.63386809269129
0.8,3,15,0.5,0.496,32.807933579336094,2.376559730733876,0.33210332103321033,943.6793999999916,542,82.40793357933609
0.8,1,10,0.6,0.65,16.674751773049636,2.2731943770903276,0.35602836879432626,1882.2443999999978,705,81.67475177304964
1.0,2,6,0.5,0.514,30.177864077669923,2.3217289719188505,0.34757281553398056,1082.1591999999916,515,81.57786407766991
1.0,2,3,0.6,0.49,32.219710144927305,2.366733514214931,0.34782608695652173,1066.064399999989,345,81.2197101449273
0.8,3,10,0.6,0.462,34.9314990512332,2.211157013074805,0.349146110056926,730.1741999999913,527,81.1314990512332
0.8,3,8,0.6,0.48,32.99674952198842,2.2023588552912825,0.3479923518164436,815.8049999999919,523,80.99674952198842
1.0,3,3,0.6,0.432,37.68700906344267,2.280362356495823,0.34441087613293053,651.8237999999747,331,80.88700906344268
0.8,1,6,0.6,0.636,17.048154362416113,2.332429245996455,0.3523489932885906,1946.9637999999977,596,80.64815436241611
0.8,3,2,0.4,0.448,35.81093749999869,2.601303055164666,0.3203125,848.203599999969,256,80.6109374999987
0.8,3,10,0.5,0.476,32.807933579336094,2.376559730733876,0.33210332103321033,844.4291999999905,542,80.40793357933609
0.8,3,20,0.6,0.454,34.9314990512332,2.211157013074805,0.349146110056926,706.618399999988,527,80.33149905123321
0.8,1,8,0.6,0.624,17.832730015082973,2.2986238255923768,0.3574660633484163,1856.464999999998,663,80.23273001508298
0.8,3,2,0.6,0.424,37.455859374998624,2.3608769177687097,0.33984375,671.9151999999717,256,79.85585937499863
1.0,2,6,0.6,0.48,31.443650793650733,2.129029207223804,0.36706349206349204,933.6835999999914,504,79.44365079365073
0.8,3,15,0.6,0.442,34.9314990512332,2.211157013074805,0.349146110056926,667.9669999999866,527,79.1314990512332
0.8,2,15,0.5,0.5,29.038897396631086,2.381419696690482,0.34150076569678406,1018.5667999999921,653,79.03889739663109
0.8,3,8,0.5,0.468,32.101862197393245,2.395957360410753,0.329608938547486,823.0157999999964,537,78.90186219739326
0.8,1,8,0.5,0.612,17.58387573964498,2.5003120575964326,0.34023668639053256,1748.9831999999979,676,78.78387573964497
0.8,2,2,0.6,0.478,30.56538461538453,2.47951056655878,0.3384615384615385,1077.5615999999943,260,78.36538461538453
0.8,2,25,0.6,0.524,25.644677661169254,2.1792431149394256,0.3538230884557721,1097.195999999987,667,78.04467766116926
0.8,2,20,0.5,0.5,27.125225225225336,2.340419051539197,0.34234234234234234,934.0443999999923,666,77.12522522522534
0.8,3,6,0.5,0.47,30.042941176470606,2.4414909920597636,0.3235294117647059,878.5753999999873,510,77.0429411764706
0.8,2,15,0.6,0.506,26.39198767334355,2.1722799525821492,0.3559322033898305,1011.8747999999895,649,76.99198767334354
0.8,2,2,0.4,0.486,27.349230769230616,2.69382279601449,0.3192307692307692,1158.8691999999942,260,75.94923076923061
0.8,3,25,0.5,0.43,32.807933579336094,2.376559730733876,0.33210332103321033,624.6373999999997,542,75.8079335793361
0.8,2,25,0.5,0.486,27.084911242603653,2.349355279745957,0.34171597633136097,918.8299999999924,676,75.68491124260365
0.8,1,10,0.5,0.596,15.973611111111119,2.448628141326612,0.3388888888888889,1649.4561999999985,720,75.57361111111112
0.8,2,4,0.6,0.478,26.7947136563875,2.361197099902604,0.34140969162995594,962.6807999999854,454,74.5947136563875
1.0,1,6,0.5,0.586,15.924538745387466,2.4071466050294905,0.3413284132841328,1823.2166,542,74.52453874538746
1.0,3,6,0.6,0.45,29.097091722594485,2.0770284728732444,0.35570469798657717,722.4065999999837,447,74.09709172259448
0.8,1,6,0.5,0.576,16.36033057851241,2.5594276189908496,0.3322314049586777,1742.2661999999978,605,73.96033057851241
2.0,2,6,0.6,0.416,31.231460674157006,2.0771193560361803,0.3707865168539326,743.7639999999897,178,72.831460674157
1.0,2,3,0.5,0.466,25.46300578034655,2.5038944270746364,0.3265895953757225,916.6875999999882,346,72.06300578034654
0.8,2,20,0.6,0.462,25.833182503770672,2.159564716347956,0.3559577677224736,837.8775999999884,663,72.03318250377067
0.8,2,4,0.5,0.45,26.144420131290815,2.5185684585378874,0.3282275711159737,830.4971999999836,457,71.14442013129081
0.8,1,15,0.6,0.568,14.165677419354822,2.1753515859106565,0.3574193548387097,1521.5507999999948,775,70.96567741935482
0.8,2,3,0.6,0.47,23.69016393442577,2.4333425263269564,0.33060109289617484,979.1051999999822,366,70.69016393442577
0.8,1,25,0.6,0.574,13.240550239234423,2.1859967788696095,0.35287081339712917,1465.2347999999934,836,70.64055023923441
0.8,3,4,0.5,0.422,27.545560747663075,2.4083178601384154,0.3247663551401869,563.6643999999797,428,69.74556074766306
0.8,1,15,0.5,0.564,13.18830188679243,2.324631398822948,0.34088050314465407,1570.4619999999966,795,69.58830188679242
0.8,3,6,0.6,0.418,26.92705410821611,2.2083947988417245,0.3406813627254509,424.17779999998993,499,68.72705410821611
0.8,3,4,0.6,0.418,26.693176470587417,2.2573841659400466,0.33647058823529413,477.95059999997983,425,68.49317647058741
2.0,2,4,0.5,0.408,27.556470588234788,2.140927888432838,0.3588235294117647,825.9355999999879,170,68.35647058823479
1.0,1,8,0.6,0.536,13.563275862068977,2.1927745731514787,0.35344827586206895,1410.5383999999983,580,67.16327586206899
2.0,3,4,0.4,0.41,25.697005988022596,2.2309652553135084,0.33532934131736525,576.4067999999723,167,66.6970059880226
0.8,2,3,0.5,0.436,23.007103825136213,2.530063455630322,0.3224043715846995,779.5271999999816,366,66.60710382513622
1.0,2,8,0.6,0.45,21.433644859813086,2.0649715797852966,0.35887850467289717,776.9023999999921,535,66.43364485981309
1.0,3,3,0.5,0.41,25.23753753753641,2.3641223289947093,0.32432432432432434,559.2183999999767,333,66.23753753753641
0.8,1,25,0.5,0.542,11.092041522491343,2.3051127731183785,0.3356401384083045,1441.5775999999942,867,65.29204152249135
1.0,1,6,0.6,0.496,15.665601503759405,2.1957467903004373,0.35902255639097747,1368.3013999999998,532,65.2656015037594
0.8,1,20,0.6,0.522,12.282041820418172,2.1430568380014354,0.35424354243542433,1319.5043999999941,813,64.48204182041817
2.0,3,4,0.5,0.376,26.581325301203663,2.1518675858952228,0.3433734939759036,346.20359999997913,166,64.18132530120366
1.0,2,25,0.6,0.456,18.100846023688632,2.031278480840381,0.3570219966159052,724.7319999999974,591,63.700846023688634
1.0,1,8,0.5,0.508,12.899153976311354,2.3585359260564602,0.33671742808798644,1391.3781999999983,591,63.69915397631135
1.0,2,4,0.6,0.432,20.421749408983487,2.1497338544940288,0.34988179669030733,682.7731999999918,423,63.62174940898349
1.0,3,4,0.6,0.424,21.00484693877422,2.1301237700940137,0.34183673469387754,628.7497999999708,392,63.40484693877422
2.0,3,2,0.5,0.36,27.37555555555386,2.2972193739067315,0.3333333333333333,497.7575999999628,135,63.37555555555386
1.0,3,8,0.6,0.404,22.84466230936775,2.0423590685941346,0.35294117647058826,370.80119999998453,459,63.244662309367754
1.0,2,25,0.5,0.464,16.812645590682138,2.1707617105270938,0.3410981697171381,804.7199999999937,601,63.21264559068214
2.0,3,6,0.6,0.376,25.44523809523656,2.0091292802843843,0.35714285714285715,320.42139999997664,168,63.04523809523656
2.0,2,4,0.4,0.378,25.02339181286493,2.1900437288980066,0.3508771929824561,764.3451999999875,171,62.82339181286493
0.8,3,3,0.6,0.42,20.812535612534504,2.2842939290465694,0.32763532763532766,593.1951999999729,351,62.812535612534504
0.8,1,20,0.5,0.516,11.082696897374689,2.2703582485948965,0.33890214797136037,1256.6299999999949,838,62.68269689737469
1.25,2,2,0.5,0.4,21.849999999999653,2.3391725274201516,0.3333333333333333,715.8367999999883,228,61.84999999999965
1.0,2,20,0.5,0.464,15.435630252100879,2.148302298425318,0.3411764705882353,707.9655999999949,595,61.835630252100884
1.0,2,10,0.5,0.446,17.20743362831874,2.192219532609579,0.3398230088495575,729.1871999999973,565,61.80743362831874
1.0,2,10,0.6,0.428,18.947005444646237,2.0226895483904848,0.35934664246823955,609.9999999999969,551,61.747005444646234
2.0,3,2,0.4,0.348,26.5422222222206,2.3792046155624527,0.32592592592592595,516.1967999999625,135,61.3422222222206
1.0,2,8,0.5,0.422,19.123583180987254,2.222772119199032,0.340036563071298,670.3419999999942,547,61.32358318098725
0.8,2,6,0.4,0.448,16.321160409556242,2.5617650936766214,0.30716723549488056,672.1551999999881,586,61.121160409556246
2.0,2,6,0.5,0.392,21.772826086956,2.1695134717626137,0.34782608695652173,825.1371999999841,184,60.972826086956005
1.0,2,20,0.6,0.438,17.13962264150942,2.003335764402575,0.3584905660377358,575.4819999999964,583,60.939622641509416
1.0,3,10,0.6,0.43,17.814224137930466,2.0081820672924535,0.35129310344827586,520.4749999999844,464,60.814224137930466
1.0,2,15,0.6,0.428,17.97277486910997,1.9891878580109992,0.3612565445026178,648.5887999999946,573,60.772774869109966
0.8,3,10,0.4,0.428,17.433754512635716,2.452654455449054,0.30866425992779783,556.008199999995,554,60.23375451263571
0.8,1,4,0.6,0.47,13.111182795698944,2.342725377038386,0.3419354838709677,1514.7435999999998,465,60.111182795698944
