contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
1,1.2,0.8,8,4,4,0.3,0.928,0.043,18.6,0.21,24.41,1.518,0.4978,143.63,93.75,1.532,223,4818.9,0.0435,92.0169,0.014,0.932,32.0,148,0.47100000000000003
1,1.2,0.8,8,4,6,0.3,0.888,0.092,17.1,0.196,25.71,1.491,0.5545,140.83,117.6,1.197,220,5039.8,0.0416,88.0274,0.022,0.878,26.2,147,0.455
1,1.2,0.8,12,4,10,0.5,0.782,0.184,18.7,0.142,19.46,1.299,0.4847,174.6,126.48,1.38,229,3814.6,0.0691,76.919,0.108,0.836,22.7,145,0.445
1,1.2,0.8,12,4,10,0.3,0.85,0.118,19.1,0.167,22.55,1.355,0.4906,175.42,124.65,1.407,212,4187.2,0.0643,83.8095,0.03,0.918,27.0,144,0.44
1,1.2,0.8,16,4,10,0.5,0.759,0.223,18.2,0.155,19.82,1.3,0.4097,209.54,111.85,1.873,227,3864.4,0.0753,74.4487,0.102,0.862,21.1,145,0.4305
1,1.2,0.8,12,4,6,0.3,0.834,0.129,18.9,0.186,21.26,1.398,0.4155,179.73,91.41,1.966,219,4042.6,0.0732,82.0475,0.026,0.932,22.4,147,0.43
2,1.2,0.8,8,4,4,0.3,0.772,0.227,9.6,0.197,45.9,1.479,0.4927,287.72,188.94,1.523,205,8267.0,0.0622,75.9585,0.084,0.916,12.0,147,0.428
1,1.2,0.8,16,4,10,0.3,0.822,0.156,18.3,0.182,23.1,1.359,0.419,208.52,110.66,1.884,210,4262.0,0.0647,80.9712,0.03,0.944,23.5,144,0.426
1,1.2,0.8,16,4,6,0.3,0.788,0.185,18.9,0.188,20.53,1.382,0.3624,204.75,84.17,2.432,218,3864.6,0.0803,77.2749,0.056,0.924,17.0,147,0.42200000000000004
1,1.2,0.8,12,4,4,0.3,0.806,0.128,21.0,0.178,18.49,1.381,0.3694,181.47,76.96,2.358,222,3484.2,0.0793,79.2125,0.004,0.942,32.0,148,0.405
