entry_time,exit_time,direction,signal,entry_price,exit_price,pnl,cumulative_pnl
2024-02-01 12:00:00,2024-02-01 16:00:00,long,fair_value_gap,4929.5,4945.75,405.01,405.01
2024-04-01 08:00:00,2024-04-01 12:00:00,short,fair_value_gap,5283.75,5285.75,-51.24,353.77
2024-04-09 08:00:00,2024-04-10 08:00:00,short,fair_value_gap,5234.25,5282.0,-1194.99,-841.22
2024-05-29 04:00:00,2024-05-31 08:00:00,short,fair_value_gap,5292.25,5227.25,1623.76,782.54
2024-07-12 08:00:00,2024-07-17 08:00:00,long,fair_value_gap,5678.5,5651.75,-669.99,112.54999999999995
2024-08-01 08:00:00,2024-08-01 12:00:00,short,fair_value_gap,5498.5,5505.75,-182.49,-69.94000000000005
2024-09-10 08:00:00,2024-09-10 12:00:00,short,fair_value_gap,5456.25,5470.25,-351.24,-421.18000000000006
2024-09-30 12:00:00,2024-09-30 16:00:00,long,fair_value_gap,5816.5,5805.75,-269.99,-691.1700000000001
2024-10-16 12:00:00,2024-10-16 20:00:00,long,fair_value_gap,5886.25,5873.25,-326.24,-1017.4100000000001
2024-10-17 00:00:00,2024-10-21 08:00:00,long,fair_value_gap,5898.0,5873.25,-619.99,-1637.4
2024-10-28 20:00:00,2024-10-29 00:00:00,short,fair_value_gap,5852.0,5865.25,-332.49,-1969.89
2024-11-27 08:00:00,2024-11-27 12:00:00,short,fair_value_gap,6009.75,6012.25,-63.74,-2033.63
2024-12-12 12:00:00,2024-12-12 16:00:00,short,fair_value_gap,6060.0,6062.25,-57.49,-2091.12
2024-12-16 04:00:00,2024-12-17 04:00:00,long,fair_value_gap,6068.75,6108.75,998.76,-1092.36
2025-01-29 12:00:00,2025-01-29 16:00:00,short,fair_value_gap,6068.25,6072.75,-113.74,-1206.1
2025-03-03 04:00:00,2025-03-03 08:00:00,long,fair_value_gap,5992.0,5980.5,-288.74,-1494.84
2025-04-08 12:00:00,2025-04-09 00:00:00,short,fair_value_gap,5017.75,4874.0,3592.51,2097.67
2025-04-11 12:00:00,2025-06-24 12:00:00,long,fair_value_gap,5390.75,6150.75,18998.76,21096.43
2025-07-15 12:00:00,2025-07-15 16:00:00,short,fair_value_gap,6288.25,6272.625,389.385,21485.815
2025-07-30 16:00:00,2025-07-31 08:00:00,long,fair_value_gap,6442.25,6427.75,-363.74,21122.074999999997
2025-10-14 00:00:00,2025-10-14 08:00:00,short,fair_value_gap,6636.25,6660.5,-607.49,20514.584999999995
2025-10-16 12:00:00,2025-10-17 00:00:00,short,fair_value_gap,6668.75,6613.75,1373.76,21888.344999999994
2025-10-23 08:00:00,2025-10-24 08:00:00,long,fair_value_gap,6761.0,6834.75,1842.51,23730.854999999992
2025-11-09 20:00:00,2025-11-10 00:00:00,long,fair_value_gap,6802.0,6799.75,-57.49,23673.36499999999
2025-11-10 04:00:00,2025-11-10 08:00:00,long,fair_value_gap,6815.0,6799.75,-382.49,23290.87499999999
2025-11-24 08:00:00,2025-11-25 08:00:00,long,fair_value_gap,6706.0,6682.25,-594.99,22695.884999999987
2025-12-15 04:00:00,2025-12-15 08:00:00,long,fair_value_gap,6864.25,6855.5,-219.99,22475.894999999986
2026-01-05 04:00:00,2026-01-06 12:00:00,long,fair_value_gap,6921.0,6982.25,1530.01,24005.904999999984
2026-01-15 04:00:00,2026-01-16 08:00:00,long,fair_value_gap,6992.75,6969.25,-588.74,23417.164999999983
2026-02-02 16:00:00,2026-02-02 20:00:00,long,fair_value_gap,7018.5,7016.0,-63.74,23353.42499999998
2026-03-05 08:00:00,2026-03-05 12:00:00,short,fair_value_gap,6832.0,6835.0,-76.24,23277.18499999998
2026-03-11 16:00:00,2026-03-11 20:00:00,short,fair_value_gap,6729.0,6731.0,-51.24,23225.944999999978
