Trade_Date,Entry_Time,Exit_Time,Session,Strategy,Type,Entry_Price,Exit_Price,PnL_pts,Duration,Exit_Reason
2026-02-01,2026-02-02 00:42:00-05:00,2026-02-02 00:44:00-05:00,Asia,Trend A,LONG,25273.75,25254.0,-19.75,0 days 00:02:00,Trend Invalidation
2026-02-01,2026-02-02 00:50:00-05:00,2026-02-02 00:51:00-05:00,Asia,Trend A,LONG,25282.75,25269.25,-13.5,0 days 00:01:00,Trend Invalidation
2026-02-01,2026-02-02 02:01:00-05:00,2026-02-02 02:02:00-05:00,Asia,Trend A,LONG,25263.5,25244.5,-19.0,0 days 00:01:00,Trend Invalidation
2026-02-01,2026-02-02 02:16:00-05:00,2026-02-02 02:18:00-05:00,Asia,Trend A,SHORT,25267.0,25272.5,-5.5,0 days 00:02:00,Trend Invalidation
2026-02-01,2026-02-02 02:35:00-05:00,2026-02-02 02:36:00-05:00,Asia,Trend A,SHORT,25277.5,25283.75,-6.25,0 days 00:01:00,Trend Invalidation
2026-02-01,2026-02-02 06:04:00-05:00,2026-02-02 06:16:00-05:00,London,Trend A,LONG,25405.5,25429.25,23.75,0 days 00:12:00,Trend Invalidation
2026-02-01,2026-02-02 07:00:00-05:00,2026-02-02 07:10:00-05:00,London,Trend A,LONG,25461.25,25466.25,5.0,0 days 00:10:00,Trend Invalidation
2026-02-02,2026-02-02 19:11:00-05:00,2026-02-02 19:12:00-05:00,Asia,Trend A,SHORT,25927.0,25933.75,-6.75,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-02 20:00:00-05:00,2026-02-02 20:11:00-05:00,Asia,Trend A,LONG,25959.5,25981.25,21.75,0 days 00:11:00,Target (VAH)
2026-02-02,2026-02-02 20:50:00-05:00,2026-02-02 20:51:00-05:00,Asia,Trend A,SHORT,25950.25,25952.75,-2.5,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-02 20:57:00-05:00,2026-02-02 21:01:00-05:00,Asia,Trend A,LONG,25956.25,25953.25,-3.0,0 days 00:04:00,Trend Invalidation
2026-02-02,2026-02-02 21:02:00-05:00,2026-02-02 21:10:00-05:00,Asia,Trend A,SHORT,25946.25,25927.25,19.0,0 days 00:08:00,Target (VAL)
2026-02-02,2026-02-02 22:06:00-05:00,2026-02-02 22:12:00-05:00,Asia,Trend A,LONG,25941.0,25937.0,-4.0,0 days 00:06:00,Trend Invalidation
2026-02-02,2026-02-02 22:21:00-05:00,2026-02-02 22:29:00-05:00,Asia,Trend A,LONG,25937.75,25939.25,1.5,0 days 00:08:00,Trend Invalidation
2026-02-02,2026-02-03 03:53:00-05:00,2026-02-03 03:54:00-05:00,London,Trend A,SHORT,25973.0,25975.75,-2.75,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-03 03:55:00-05:00,2026-02-03 03:56:00-05:00,London,Trend A,SHORT,25971.5,25979.0,-7.5,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-03 04:16:00-05:00,2026-02-03 04:22:00-05:00,London,Trend A,LONG,25987.0,25980.25,-6.75,0 days 00:06:00,Trend Invalidation
2026-02-02,2026-02-03 04:23:00-05:00,2026-02-03 04:31:00-05:00,London,Trend A,SHORT,25969.75,25971.25,-1.5,0 days 00:08:00,Trend Invalidation
2026-02-02,2026-02-03 04:32:00-05:00,2026-02-03 04:35:00-05:00,London,Trend A,LONG,25975.75,25970.0,-5.75,0 days 00:03:00,Trend Invalidation
2026-02-02,2026-02-03 04:50:00-05:00,2026-02-03 04:54:00-05:00,London,Trend A,LONG,25974.5,25967.0,-7.5,0 days 00:04:00,Trend Invalidation
2026-02-02,2026-02-03 05:02:00-05:00,2026-02-03 05:10:00-05:00,London,Trend A,LONG,25976.5,25980.5,4.0,0 days 00:08:00,Trend Invalidation
2026-02-02,2026-02-03 05:22:00-05:00,2026-02-03 05:23:00-05:00,London,Trend A,SHORT,25971.0,25975.0,-4.0,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-03 05:24:00-05:00,2026-02-03 05:29:00-05:00,London,Trend A,SHORT,25971.0,25971.75,-0.75,0 days 00:05:00,Trend Invalidation
2026-02-02,2026-02-03 07:11:00-05:00,2026-02-03 07:17:00-05:00,London,Trend A,LONG,25960.75,25961.5,0.75,0 days 00:06:00,Trend Invalidation
2026-02-02,2026-02-03 07:19:00-05:00,2026-02-03 07:22:00-05:00,London,Trend A,LONG,25975.0,25973.0,-2.0,0 days 00:03:00,Trend Invalidation
2026-02-02,2026-02-03 07:26:00-05:00,2026-02-03 07:35:00-05:00,London,Trend A,LONG,25977.5,25986.75,9.25,0 days 00:09:00,Trend Invalidation
2026-02-02,2026-02-03 08:44:00-05:00,2026-02-03 08:45:00-05:00,London,Trend A,SHORT,25975.5,25978.25,-2.75,0 days 00:01:00,Trend Invalidation
2026-02-02,2026-02-03 08:50:00-05:00,2026-02-03 09:01:00-05:00,London,Trend A,SHORT,25971.25,25973.75,-2.5,0 days 00:11:00,Trend Invalidation
2026-02-03,2026-02-03 19:56:00-05:00,2026-02-03 19:58:00-05:00,Asia,Trend A,LONG,25393.0,25385.75,-7.25,0 days 00:02:00,Trend Invalidation
2026-02-03,2026-02-03 20:00:00-05:00,2026-02-03 20:03:00-05:00,Asia,Trend A,LONG,25405.25,25430.0,24.75,0 days 00:03:00,Target (VAH)
2026-02-03,2026-02-03 21:41:00-05:00,2026-02-03 21:42:00-05:00,Asia,Trend A,SHORT,25408.75,25419.5,-10.75,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-03 21:50:00-05:00,2026-02-03 21:54:00-05:00,Asia,Trend A,SHORT,25414.0,25416.25,-2.25,0 days 00:04:00,Trend Invalidation
2026-02-03,2026-02-03 21:57:00-05:00,2026-02-03 21:58:00-05:00,Asia,Trend A,LONG,25416.5,25408.25,-8.25,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-03 22:00:00-05:00,2026-02-03 22:01:00-05:00,Asia,Trend A,LONG,25419.25,25409.5,-9.75,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-03 22:10:00-05:00,2026-02-03 22:15:00-05:00,Asia,Trend A,LONG,25418.75,25418.0,-0.75,0 days 00:05:00,Trend Invalidation
2026-02-03,2026-02-03 22:20:00-05:00,2026-02-03 22:21:00-05:00,Asia,Trend A,SHORT,25409.25,25421.75,-12.5,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-03 22:48:00-05:00,2026-02-03 22:49:00-05:00,Asia,Trend A,SHORT,25412.75,25421.25,-8.5,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-03 22:52:00-05:00,2026-02-03 23:04:00-05:00,Asia,Trend A,LONG,25420.75,25433.0,12.25,0 days 00:12:00,Trend Invalidation
2026-02-03,2026-02-03 23:30:00-05:00,2026-02-03 23:40:00-05:00,Asia,Trend A,LONG,25426.75,25442.75,16.0,0 days 00:10:00,Target (VAH)
2026-02-03,2026-02-04 00:11:00-05:00,2026-02-04 00:12:00-05:00,Asia,Trend A,SHORT,25420.5,25424.0,-3.5,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-04 00:13:00-05:00,2026-02-04 00:16:00-05:00,Asia,Trend A,SHORT,25422.25,25423.0,-0.75,0 days 00:03:00,Trend Invalidation
2026-02-03,2026-02-04 00:31:00-05:00,2026-02-04 00:37:00-05:00,Asia,Trend A,SHORT,25419.25,25423.25,-4.0,0 days 00:06:00,Trend Invalidation
2026-02-03,2026-02-04 03:26:00-05:00,2026-02-04 03:31:00-05:00,London,Trend A,SHORT,25419.75,25436.0,-16.25,0 days 00:05:00,Trend Invalidation
2026-02-03,2026-02-04 03:35:00-05:00,2026-02-04 03:37:00-05:00,London,Trend A,LONG,25432.0,25420.5,-11.5,0 days 00:02:00,Trend Invalidation
2026-02-03,2026-02-04 03:38:00-05:00,2026-02-04 03:41:00-05:00,London,Trend A,SHORT,25416.0,25432.25,-16.25,0 days 00:03:00,Trend Invalidation
2026-02-03,2026-02-04 04:00:00-05:00,2026-02-04 04:01:00-05:00,London,Trend A,SHORT,25416.25,25443.0,-26.75,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-04 04:13:00-05:00,2026-02-04 04:17:00-05:00,London,Trend A,SHORT,25417.5,25397.0,20.5,0 days 00:04:00,Target (VAL)
2026-02-03,2026-02-04 05:04:00-05:00,2026-02-04 05:10:00-05:00,London,Trend A,LONG,25429.5,25422.75,-6.75,0 days 00:06:00,Trend Invalidation
2026-02-03,2026-02-04 05:14:00-05:00,2026-02-04 05:15:00-05:00,London,Trend A,SHORT,25422.5,25424.75,-2.25,0 days 00:01:00,Trend Invalidation
2026-02-03,2026-02-04 05:16:00-05:00,2026-02-04 05:24:00-05:00,London,Trend A,LONG,25429.75,25438.25,8.5,0 days 00:08:00,Trend Invalidation
2026-02-03,2026-02-04 07:37:00-05:00,2026-02-04 07:43:00-05:00,London,Trend A,SHORT,25417.5,25413.0,4.5,0 days 00:06:00,Trend Invalidation
2026-02-04,2026-02-04 19:05:00-05:00,2026-02-04 19:25:00-05:00,Asia,Trend A,LONG,25056.5,25107.25,50.75,0 days 00:20:00,Target (VAH)
2026-02-04,2026-02-04 21:04:00-05:00,2026-02-04 21:10:00-05:00,Asia,Trend A,SHORT,25100.0,25068.75,31.25,0 days 00:06:00,Target (VAL)
2026-02-04,2026-02-05 00:18:00-05:00,2026-02-05 00:24:00-05:00,Asia,Trend A,SHORT,24968.5,24976.75,-8.25,0 days 00:06:00,Trend Invalidation
2026-02-04,2026-02-05 00:25:00-05:00,2026-02-05 00:32:00-05:00,Asia,Trend A,LONG,24985.5,24991.5,6.0,0 days 00:07:00,Trend Invalidation
2026-02-04,2026-02-05 02:42:00-05:00,2026-02-05 02:43:00-05:00,Asia,Trend A,SHORT,25052.0,25056.25,-4.25,0 days 00:01:00,Trend Invalidation
2026-02-04,2026-02-05 02:57:00-05:00,2026-02-05 03:00:00-05:00,Asia,Trend A,SHORT,25050.0,25063.5,-13.5,0 days 00:03:00,Trend Invalidation
2026-02-04,2026-02-05 03:50:00-05:00,2026-02-05 03:58:00-05:00,London,Trend A,SHORT,25047.5,25024.5,23.0,0 days 00:08:00,Trend Invalidation
2026-02-04,2026-02-05 04:25:00-05:00,2026-02-05 04:32:00-05:00,London,Trend A,LONG,25053.0,25096.75,43.75,0 days 00:07:00,Target (VAH)
2026-02-04,2026-02-05 04:38:00-05:00,2026-02-05 04:46:00-05:00,London,Trend A,SHORT,25054.25,25039.0,15.25,0 days 00:08:00,Trend Invalidation
2026-02-04,2026-02-05 05:10:00-05:00,2026-02-05 05:19:00-05:00,London,Trend A,LONG,25052.25,25078.0,25.75,0 days 00:09:00,Trend Invalidation
2026-02-04,2026-02-05 05:34:00-05:00,2026-02-05 05:41:00-05:00,London,Trend A,SHORT,25049.5,25048.0,1.5,0 days 00:07:00,Trend Invalidation
2026-02-04,2026-02-05 06:17:00-05:00,2026-02-05 06:19:00-05:00,London,Trend A,LONG,25050.75,25039.5,-11.25,0 days 00:02:00,Trend Invalidation
2026-02-04,2026-02-05 06:20:00-05:00,2026-02-05 06:21:00-05:00,London,Trend A,LONG,25046.5,25053.5,7.0,0 days 00:01:00,Trend Invalidation
2026-02-04,2026-02-05 06:22:00-05:00,2026-02-05 06:24:00-05:00,London,Trend A,LONG,25056.25,25049.0,-7.25,0 days 00:02:00,Trend Invalidation
